epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.9272,1.5541,2.31631,1.67932,0.00643,1,0.29039,0.15692,1.68968,2.65884,1.79755,0.0676226,0.000327044,0.000327044
2,21.4536,1.33879,1.72388,1.48011,0.35404,0.94659,0.56025,0.38396,1.20873,1.91296,1.43204,0.0346161,0.00065384,0.00065384
3,30.9181,1.27711,1.58415,1.40403,0.44823,0.94287,0.63778,0.34071,1.41188,1.58703,1.60699,0.00160297,0.000974035,0.000974035
4,40.265,1.26263,1.52802,1.40081,0.51434,0.76023,0.70754,0.37464,1.4348,2.63938,1.62322,0.0009703,0.0009703,0.0009703
5,49.6502,1.23696,1.4032,1.37329,0.58437,0.95861,0.72226,0.49133,1.18525,1.23506,1.36133,0.0009604,0.0009604,0.0009604
6,58.9681,1.19189,1.31676,1.34376,0.64492,0.90079,0.80609,0.56881,1.08105,1.17184,1.31116,0.0009505,0.0009505,0.0009505
7,68.2699,1.17668,1.27409,1.33652,0.66447,0.9818,0.78159,0.48122,1.37669,0.91322,1.5148,0.0009406,0.0009406,0.0009406
8,77.5587,1.19132,1.26777,1.35065,0.65706,1,0.79027,0.51936,1.14629,0.83506,1.32348,0.0009307,0.0009307,0.0009307
9,86.7089,1.14059,1.19947,1.30421,0.65593,0.99489,0.79204,0.56614,1.12071,0.71688,1.38645,0.0009208,0.0009208,0.0009208
10,96.1437,1.13694,1.20116,1.31399,0.78163,0.90476,0.81255,0.58161,1.07922,0.73689,1.26888,0.0009109,0.0009109,0.0009109
11,105.338,1.13788,1.17867,1.30942,0.76125,0.9011,0.87025,0.63771,1.05196,0.72864,1.24609,0.000901,0.000901,0.000901
12,114.565,1.14757,1.12447,1.31904,0.94161,0.88607,0.96337,0.64174,1.28277,0.61195,1.41259,0.0008911,0.0008911,0.0008911
13,123.98,1.11638,1.05775,1.30978,0.87231,0.83951,0.97606,0.63543,1.20178,0.80706,1.3987,0.0008812,0.0008812,0.0008812
14,133.192,1.11049,1.01282,1.29674,0.82397,0.97272,0.97335,0.73331,1.01056,0.70477,1.21597,0.0008713,0.0008713,0.0008713
15,142.583,1.10158,0.99063,1.30168,0.87989,0.8833,0.9535,0.65981,1.04919,0.6798,1.26866,0.0008614,0.0008614,0.0008614
16,151.939,1.08246,0.94015,1.2827,0.93586,0.94103,0.98878,0.74017,1.00798,0.56702,1.20943,0.0008515,0.0008515,0.0008515
17,161.318,1.08703,0.9232,1.27437,0.87963,0.95618,0.96138,0.70045,1.07412,0.60299,1.26499,0.0008416,0.0008416,0.0008416
18,170.576,1.08069,0.8959,1.27345,0.95133,1,0.99333,0.72616,0.97723,0.49589,1.19128,0.0008317,0.0008317,0.0008317
19,179.959,1.08256,0.89663,1.2824,0.88439,0.96719,0.98001,0.71597,1.01336,0.53175,1.20466,0.0008218,0.0008218,0.0008218
